SECTION,LINK
>4.1.1 KPI Targets,https://github.com/teleworxllc/NaaSRunBook/blob/gh-pages/Post-Launch%20Engineering/Templates/RAN%20KPIs%20Template.xlsx
>4.1.1 KPI Targets,https://github.com/teleworxllc/NaaSRunBook/blob/gh-pages/Post-Launch%20Engineering/Primers/Primer%20on%20RAN%20KPIs.docx
"<a class=""titulo-h2 anchor-bum color-luminati-3"" name=""item5-3"">5.3 Optimization Tools</a>",https://www.mycom-osi.com/products/proptima/service-and-network-performance-management
"<a class=""titulo-h2 anchor-bum color-luminati-3"" name=""item5-3"">5.3 Optimization Tools</a>",https://www.teoco.com/products-services/service-assurance/performance-management/
"<a class=""titulo-h2 anchor-bum color-luminati-3"" name=""item5-3"">5.3 Optimization Tools</a>",https://www.teoco.com/products-services/ran-solutions/configuration-management/
"<a class=""titulo-h2 anchor-bum color-luminati-3"" name=""item5-3"">5.3 Optimization Tools</a>",https://www.teleworx.com/products.html
"<a class=""titulo-h2 anchor-bum color-luminati-3"" name=""item5-3"">5.3 Optimization Tools</a>",https://www.teoco.com/products-services/service-assurance/fault-management/
"<a class=""titulo-h2 anchor-bum color-luminati-3"" name=""item5-3"">5.3 Optimization Tools</a>",https://www.mycom-osi.com/products/netexpert-fault-service-impact-management
"<a class=""titulo-h2 anchor-bum color-luminati-3"" name=""item5-3"">5.3 Optimization Tools</a>",https://actix.com/analyzer/
"<a class=""titulo-h2 anchor-bum color-luminati-3"" name=""item5-3"">5.3 Optimization Tools</a>",https://www.keysight.com/en/pd-2767469-pn-NTN00000B/nemo-analyze?nid=-32104.1200409&amp;cc=ES&amp;lc=eng<
"<a class=""titulo-h2 anchor-bum color-luminati-3"" name=""item5-3"">5.3 Optimization Tools</a>",https://www.exfo.com/en/products/service-assurance/monitoring-troubleshooting/nova-explorer/
"<a class=""titulo-h2 anchor-bum color-luminati-3"" name=""item5-3"">5.3 Optimization Tools</a>",https://www.infovista.com/vistaneo/radio-access-network-optimization
"<a class=""titulo-h2 anchor-bum color-luminati-3"" name=""item5-3"">5.3 Optimization Tools</a>",https://www.kenmei.ai/products/
"<a class=""titulo-h2 anchor-bum color-luminati-3"" name=""item5-3"">5.3 Optimization Tools</a>",https://www.tutela.com/explorer
"<a class=""titulo-h2 anchor-bum color-luminati-3"" name=""item5-3"">5.3 Optimization Tools</a>",https://www.empirix.com/products/diagnostix/
