SECTION,LINK
3.1 RFx Scope &amp; Project Chart,https://github.com/teleworxllc/NaaSRunBook/blob/gh-pages/Supply%20Chain%20Management/Templates/Project%20Charter%20Template.docx
3.3 Bidders Identification and Pre-Qualification,https://github.com/teleworxllc/NaaSRunBook/blob/gh-pages/Supply%20Chain%20Management/Templates/Invitation%20Letter.docx
3.3 Bidders Identification and Pre-Qualification,https://github.com/teleworxllc/NaaSRunBook/blob/gh-pages/Supply%20Chain%20Management/Templates/Pre-Qualification%20Template.xlsx
3.3 Bidders Identification and Pre-Qualification,https://github.com/teleworxllc/NaaSRunBook/blob/gh-pages/Supply%20Chain%20Management/Templates/Pre-Qualification%20Template.xlsx
4.3 RFx Distribution,https://github.com/teleworxllc/NaaSRunBook/blob/gh-pages/Supply%20Chain%20Management/Templates/Bidders%20Queries%20and%20Responses%20Template.xlsx
4.4 Vendor Evaluation &amp; Selection,https://github.com/teleworxllc/NaaSRunBook/blob/gh-pages/Supply%20Chain%20Management/Templates/Vendor%20Evaluation%20Matrix%20Template.xlsx
4.4 Vendor Evaluation &amp; Selection,https://github.com/teleworxllc/NaaSRunBook/blob/gh-pages/Supply%20Chain%20Management/Templates/Commercial%20Quotation%20Template.docx
5 RFx Document,https://github.com/teleworxllc/NaaSRunBook/blob/gh-pages/Supply%20Chain%20Management/Templates/RFx%20Document%20Template.docx
5 RFx Document,rfi_template
5.1 Information for Bidders,https://github.com/teleworxllc/NaaSRunBook/blob/gh-pages/Supply%20Chain%20Management/Templates/RFx%20Document%20Template.docx
5.3 Bid Proposal Preparation and Submission,https://github.com/teleworxllc/NaaSRunBook/blob/gh-pages/Supply%20Chain%20Management/Templates/Commercial%20Quotation%20Template.docx
3.1 RFx Scope &amp; Project Chart,https://github.com/teleworxllc/NaaSRunBook/blob/gh-pages/Supply%20Chain%20Management/Templates/Project%20Charter%20Template.docx
3.3 Bidders Identification and Pre-Qualification,https://github.com/teleworxllc/NaaSRunBook/blob/gh-pages/Supply%20Chain%20Management/Templates/Invitation%20Letter.docx
3.3 Bidders Identification and Pre-Qualification,https://github.com/teleworxllc/NaaSRunBook/blob/gh-pages/Supply%20Chain%20Management/Templates/Pre-Qualification%20Template.xlsx
3.3 Bidders Identification and Pre-Qualification,https://github.com/teleworxllc/NaaSRunBook/blob/gh-pages/Supply%20Chain%20Management/Templates/Pre-Qualification%20Template.xlsx
4.3 RFx Distribution,https://github.com/teleworxllc/NaaSRunBook/blob/gh-pages/Supply%20Chain%20Management/Templates/Bidders%20Queries%20and%20Responses%20Template.xlsx
4.4 Vendor Evaluation &amp; Selection,https://github.com/teleworxllc/NaaSRunBook/blob/gh-pages/Supply%20Chain%20Management/Templates/Vendor%20Evaluation%20Matrix%20Template.xlsx
4.4 Vendor Evaluation &amp; Selection,https://github.com/teleworxllc/NaaSRunBook/blob/gh-pages/Supply%20Chain%20Management/Templates/Commercial%20Quotation%20Template.docx
5 RFx Document,https://github.com/teleworxllc/NaaSRunBook/blob/gh-pages/Supply%20Chain%20Management/Templates/RFx%20Document%20Template.docx
5 RFx Document,rfi_template
5.1 Information for Bidders,https://github.com/teleworxllc/NaaSRunBook/blob/gh-pages/Supply%20Chain%20Management/Templates/RFx%20Document%20Template.docx
5.3 Bid Proposal Preparation and Submission,https://github.com/teleworxllc/NaaSRunBook/blob/gh-pages/Supply%20Chain%20Management/Templates/Commercial%20Quotation%20Template.docx
